ID,Author_Name,Years,Author_ID,Title,Year,School,School_ID,Department_free_text,Department_broad_category,Department CBID,Subject_broad,Root_dissertation,Advisor_Name_1,Advisor_ID_1,Advisor_Role_1,Advisor_Name_2,Advisor_ID_2,Advisor_Role_2,Advisor_Name_3,Advisor_ID_3,Advisor_Role_3,Advisor_Name_4,Advisor_ID_4,Advisor_Role_4,Advisor_Name_5,Advisor_ID_5,Advisor_Role_5,Advisor_Name_6,Advisor_ID_6,Advisor_Role_6,Advisor_Name_7,Advisor_ID_7,Advisor_Role_7,Advisor_Name_8,Advisor_ID_8,Advisor_Role_8,Category_ID,Source Notes,Edition_Details
COMB_000001,"Miciotto, Robert J.",,CBA000069180,Carl Rokitansky: Nineteenth-century pathologist and leader of the new Vienna school,1979,Johns Hopkins University,CBA000135399,,,,,,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000116089,,
COMB_000002,"Luborsky, Peter D.",,CBA000062458,Goethe's scientific language in prose and poetry,1993,University of Massachusetts Amherst,CBA000162497,,,,,,"Malsch, Wilfried",CBA000064218,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000118585,,Director: Wilfried Malsch
COMB_000003,"Chaney, Sandra L.",,CBA000017810,"Visions and revisions of nature: From the protection of nature to the invention of the environment in the Federal Republic of Germany, 1945-1975",1997,University of North Carolina at Chapel Hill,CBA000162511,,,,,,"Jarausch, Konrad H.",CBA000050051,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000115940,,Advisor: Konrad Jarausch
COMB_000004,"Campt, Tina",,CBA000015867,"“Afro-German”: The convergence of race, sexuality, and gender in the formation of a German ethnic identity, 1919-1960",1996,Cornell University,CBA000114805,,,,,,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000115986,,
COMB_000005,"Gates, Lisa M.",,CBA000035848,Images of Africa in late 19th- and 20th-century German literature and culture,1996,Harvard University,CBA000114966,,,,,,"Tatar, Maria",CBA000160192,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000115986,,Advisor: Maria Tatar
COMB_000006,"McDowell, Niel",,CBA000067143,The sixteenth-century German plague text and its role in early modern medical discourse,1998,University of Pennsylvania,CBA000115228,,,,,,"Brévart, Francis B.",CBA000012632,Advisor,"Daemmrich, Horst",CBA000022974,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000116103,,Advisors: Francis B. Brévart; Horst Daemmrich
COMB_000007,"Germer, Soren",,CBA000036539,German experiments in the science and politics of evolution,1997,"University of California, Berkeley",CBA000118094,,,,,,"Rabinow, Paul",CBA000082716,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000115687,,Chair: Paul Rabinow
COMB_000008,"Gross, Daniel M.",,CBA000040364,Inventing human nature: Rhetoric and the human sciences in early modern Germany (1500-1700),1998,"University of California, Berkeley",CBA000118094,,,,,,"White, Hayden",CBA000161506,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000115980,,Chair: Hayden White
COMB_000009,"Price, Matthew",,CBA000081816,Bodies and souls: The rehabilitation of maimed soldiers in France and Germany during the First World War,1998,Stanford University,CBA000115400,,,,,,"Satz, Debra",CBA000089958,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor: Debra Satz
COMB_000010,Jacqueline L. Cowan,,CBA519874212,"No ""Idle Fancy:"" The Imagination's Work in Poetry and Natural Philosophy from Sidney to Sprat",2015,Duke University,CBA000120251,,,,,,"Tennenhouse, Leonard",CBA000101255,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000131119,,
COMB_000011,"Storr, F.",,CBA000098908,"The development of the marine compound engine, c. 1870-1890",,Newcastle Polytechnik (UK),,,,,,,"Clarke, J. F.",TEMP_5E4E8ADD7055,Advisor,"Cardwell, D. S. L.",TEMP_949968A69350,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000130187,,
COMB_000012,"Ongley, John C.",,CBA000075807,On the idea that there is no logic of discovery: A history,2000,Boston University,CBA000132432,,,,,,"Cohen, Robert S.",CBA000019966,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000131247,,"Advisor: Cohen, Robert S."
COMB_000013,"Littler, D. A.",,CBA000061275,"Uncertainty, evaluation, and technological innovation",,University of Manchester (UK),CBA000162674,,,,,,"Gibbons, M.",TEMP_CF30EE615B13,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000116215,,
COMB_000014,"Brookman, Frits H.",,CBA000013172,The making of a science policy: A historical study of the institutional and conceptual background to Dutch science policy in a west-European perspective,1979,Vrije Universiteit te Amsterdam,CBA000162795,,,,,,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000115653,,
COMB_000015,"Berardi, Marianne",,CBA000007845,Science into art: Rachel Ruysch's early development as a still-life painter,1998,University of Pittsburgh,CBA000115244,,,,,,"Harris, Ann Sutherland",CBA000042951,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000130314,,Advisor: Ann Sutherland Harris
COMB_000016,"McIntyre, J. B.",,CBA000067379,The role of the wet process in the growth of the pyrites industry,,University of Nottingham (UK),CBA000162707,,,,,,"Coats, A. W.",TEMP_816B176B887F,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000116261,,
COMB_000017,Agnes Bolinska,,CBA828258501,Epistemic Representation in Science and Beyond,2015,University of Toronto,CBA000115427,,,,,,"Berkovitz, Joseph",CBA000008124,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000130288,,
COMB_000018,"González, Elisa M.",,CBA000166447,"Food for Every Mouth: Nutrition, Agriculture, and Public Health in Puerto Rico, 1920s-1960s",2016,Columbia University,CBA000119793,,,,,,"Sivaramakrishnan, Kavita",CBA000166872,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000131336,,
COMB_000019,"Whitt, David Francis",,CBA000109437,“Resistance is Futile”: The Rhetoric of the Cyborg in the Information Age,2002,University of Nebraska - Lincoln,CBA000162504,,,,,,"Lee, Ronald",CBA000153398,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000131339,,"Advisor: Lee, Ronald"
COMB_000020,Roger H. Lieberman,,CBA537539167,The Evolution of Julian Huxley: The Modern Evolutionary Synthesis and the Quest for Scientific Humanism,2015,Drew University,CBA000162275,,,,,,Allan Dawson,CBA192809810,Advisor,Wyatt Evans,CBA116436005,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000131322,,
COMB_000021,"Misiewicz, Zoë",,CBA468821296,John Lydus and Mesopotamian Celestial Omens in Late Antiquity,2019,New York University,CBA000120730,,,,,,"Jones, Alexander",CBA000050950,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000130955,,
COMB_000022,"Ellis, Helen",,CBA798579808,"Maize, Quetzalcoatl, and Grass Imagery: Science in the Central Mexican Codex Borgia",2015,"University of California, Los Angeles",CBA000138968,,,,,,"Klein, Cecelia F.",CBA000054305,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000130730,,
